"","crim","zn","indus","chas","nox","rm","age","dis","rad","tax","ptratio","black","lstat","medv"
"103",0.22876,0,8.56,0,5.2,6.405,85.4,2.7147,5,384,20.9,0.0708,0.1063,18.6
"104",0.21161,0,8.56,0,5.2,6.137,87.4,2.7147,5,384,20.9,0.39447,0.1344,19.3
"105",0.1396,0,8.56,0,5.2,6.167,90,2.421,5,384,20.9,0.39269,0.1233,20.1
"106",0.13262,0,8.56,0,5.2,5.851,96.7,2.1069,5,384,20.9,0.39405,0.1647,19.5
"107",0.1712,0,8.56,0,5.2,5.836,91.9,2.211,5,384,20.9,0.39567,0.1866,19.5
"108",0.13117,0,8.56,0,5.2,6.127,85.2,2.1224,5,384,20.9,0.38769,0.1409,20.4
"109",0.12802,0,8.56,0,5.2,6.474,97.1,2.4329,5,384,20.9,0.39524,0.1227,19.8
"110",0.26363,0,8.56,0,5.2,6.229,91.2,2.5451,5,384,20.9,0.39123,0.1555,19.4
"111",0.10793,0,8.56,0,5.2,6.195,54.4,2.7778,5,384,20.9,0.39349,0.13,21.7
"112",0.10084,0,10.01,0,5.47,6.715,81.6,2.6775,6,432,17.8,0.39559,0.1016,22.8
"113",0.12329,0,10.01,0,5.47,5.913,92.9,2.3534,6,432,17.8,0.39495,0.1621,18.8
"114",0.22212,0,10.01,0,5.47,6.092,95.4,2.548,6,432,17.8,0.3969,0.1709,18.7
"115",0.14231,0,10.01,0,5.47,6.254,84.2,2.2565,6,432,17.8,0.38874,0.1045,18.5
"116",0.17134,0,10.01,0,5.47,5.928,88.2,2.4631,6,432,17.8,0.34491,0.1576,18.3
"117",0.13158,0,10.01,0,5.47,6.176,72.5,2.7301,6,432,17.8,0.3933,0.1204,21.2
"118",0.15098,0,10.01,0,5.47,6.021,82.6,2.7474,6,432,17.8,0.39451,0.103,19.2
"119",0.13058,0,10.01,0,5.47,5.872,73.1,2.4775,6,432,17.8,0.33863,0.1537,20.4
"120",0.14476,0,10.01,0,5.47,5.731,65.2,2.7592,6,432,17.8,0.3915,0.1361,19.3
"121",0.06899,0,25.65,0,5.81,5.87,69.7,2.2577,2,188,19.1,0.38915,0.1437,22
"122",0.07165,0,25.65,0,5.81,6.004,84.1,2.1974,2,188,19.1,0.37767,0.1427,20.3
"123",0.09299,0,25.65,0,5.81,5.961,92.9,2.0869,2,188,19.1,0.37809,0.1793,20.5
"124",0.15038,0,25.65,0,5.81,5.856,97,1.9444,2,188,19.1,0.37031,0.2541,17.3
"125",0.09849,0,25.65,0,5.81,5.879,95.8,2.0063,2,188,19.1,0.37938,0.1758,18.8
"126",0.16902,0,25.65,0,5.81,5.986,88.4,1.9929,2,188,19.1,0.38502,0.1481,21.4
"127",0.38735,0,25.65,0,5.81,5.613,95.6,1.7572,2,188,19.1,0.35929,0.2726,15.7
"128",0.25915,0,21.89,0,6.24,5.693,96,1.7883,4,437,21.2,0.39211,0.1719,16.2
"129",0.32543,0,21.89,0,6.24,6.431,98.8,1.8125,4,437,21.2,0.3969,0.1539,18
"130",0.88125,0,21.89,0,6.24,5.637,94.7,1.9799,4,437,21.2,0.3969,0.1834,14.3
"131",0.34006,0,21.89,0,6.24,6.458,98.9,2.1185,4,437,21.2,0.39504,0.126,19.2
"132",1.19294,0,21.89,0,6.24,6.326,97.7,2.271,4,437,21.2,0.3969,0.1226,19.6
"133",0.59005,0,21.89,0,6.24,6.372,97.9,2.3274,4,437,21.2,0.38576,0.1112,23
"134",0.32982,0,21.89,0,6.24,5.822,95.4,2.4699,4,437,21.2,0.38869,0.1503,18.4
"135",0.97617,0,21.89,0,6.24,5.757,98.4,2.346,4,437,21.2,0.26276,0.1731,15.6
"136",0.55778,0,21.89,0,6.24,6.335,98.2,2.1107,4,437,21.2,0.39467,0.1696,18.1
"137",0.32264,0,21.89,0,6.24,5.942,93.5,1.9669,4,437,21.2,0.37825,0.169,17.4
"138",0.35233,0,21.89,0,6.24,6.454,98.4,1.8498,4,437,21.2,0.39408,0.1459,17.1
"139",0.2498,0,21.89,0,6.24,5.857,98.2,1.6686,4,437,21.2,0.39204,0.2132,13.3
"140",0.54452,0,21.89,0,6.24,6.151,97.9,1.6687,4,437,21.2,0.3969,0.1846,17.8
"141",0.2909,0,21.89,0,6.24,6.174,93.6,1.6119,4,437,21.2,0.38808,0.2416,14
"142",1.62864,0,21.89,0,6.24,5.019,100,1.4394,4,437,21.2,0.3969,0.3441,14.4
"143",3.32105,0,19.58,1,8.71,5.403,100,1.3216,5,403,14.7,0.3969,0.2682,13.4
"144",4.0974,0,19.58,0,8.71,5.468,100,1.4118,5,403,14.7,0.3969,0.2642,15.6
"145",2.77974,0,19.58,0,8.71,4.903,97.8,1.3459,5,403,14.7,0.3969,0.2929,11.8
"146",2.37934,0,19.58,0,8.71,6.13,100,1.4191,5,403,14.7,0.17291,0.278,13.8
"147",2.15505,0,19.58,0,8.71,5.628,100,1.5166,5,403,14.7,0.16927,0.1665,15.6
"148",2.36862,0,19.58,0,8.71,4.926,95.7,1.4608,5,403,14.7,0.39171,0.2953,14.6
"149",2.33099,0,19.58,0,8.71,5.186,93.8,1.5296,5,403,14.7,0.35699,0.2832,17.8
"150",2.73397,0,19.58,0,8.71,5.597,94.9,1.5257,5,403,14.7,0.35185,0.2145,15.4
"151",1.6566,0,19.58,0,8.71,6.122,97.3,1.618,5,403,14.7,0.3728,0.141,21.5
"152",1.49632,0,19.58,0,8.71,5.404,100,1.5916,5,403,14.7,0.3416,0.1328,19.6
"153",1.12658,0,19.58,1,8.71,5.012,88,1.6102,5,403,14.7,0.34328,0.1212,15.3
"154",2.14918,0,19.58,0,8.71,5.709,98.5,1.6232,5,403,14.7,0.26195,0.1579,19.4
"155",1.41385,0,19.58,1,8.71,6.129,96,1.7494,5,403,14.7,0.32102,0.1512,17
"156",3.53501,0,19.58,1,8.71,6.152,82.6,1.7455,5,403,14.7,0.08801,0.1502,15.6
"157",2.44668,0,19.58,0,8.71,5.272,94,1.7364,5,403,14.7,0.08863,0.1614,13.1
"158",1.22358,0,19.58,0,6.05,6.943,97.4,1.8773,5,403,14.7,0.36343,0.0459,41.3
"159",1.34284,0,19.58,0,6.05,6.066,100,1.7573,5,403,14.7,0.35389,0.0643,24.3
"160",1.42502,0,19.58,0,8.71,6.51,100,1.7659,5,403,14.7,0.36431,0.0739,23.3
"161",1.27346,0,19.58,1,6.05,6.25,92.6,1.7984,5,403,14.7,0.33892,0.055,27
"162",1.46336,0,19.58,0,6.05,7.489,90.8,1.9709,5,403,14.7,0.37443,0.0173,50
"163",1.83377,0,19.58,1,6.05,7.802,98.2,2.0407,5,403,14.7,0.38961,0.0192,50
"164",1.51902,0,19.58,1,6.05,8.375,93.9,2.162,5,403,14.7,0.38845,0.0332,50
"165",2.24236,0,19.58,0,6.05,5.854,91.8,2.422,5,403,14.7,0.39511,0.1164,22.7
"166",2.924,0,19.58,0,6.05,6.101,93,2.2834,5,403,14.7,0.24016,0.0981,25
"167",2.01019,0,19.58,0,6.05,7.929,96.2,2.0459,5,403,14.7,0.3693,0.037,50
"168",1.80028,0,19.58,0,6.05,5.877,79.2,2.4259,5,403,14.7,0.22761,0.1214,23.8
"169",2.3004,0,19.58,0,6.05,6.319,96.1,2.1,5,403,14.7,0.29709,0.111,23.8
"170",2.44953,0,19.58,0,6.05,6.402,95.2,2.2625,5,403,14.7,0.33004,0.1132,22.3
"171",1.20742,0,19.58,0,6.05,5.875,94.6,2.4259,5,403,14.7,0.29229,0.1443,17.4
"172",2.3139,0,19.58,0,6.05,5.88,97.3,2.3887,5,403,14.7,0.34813,0.1203,19.1
"173",0.13914,0,4.05,0,5.1,5.572,88.5,2.5961,5,296,16.6,0.3969,0.1469,23.1
"174",0.09178,0,4.05,0,5.1,6.416,84.1,2.6463,5,296,16.6,0.3955,0.0904,23.6
"175",0.08447,0,4.05,0,5.1,5.859,68.7,2.7019,5,296,16.6,0.39323,0.0964,22.6
"176",0.06664,0,4.05,0,5.1,6.546,33.1,3.1323,5,296,16.6,0.39096,0.0533,29.4
"177",0.07022,0,4.05,0,5.1,6.02,47.2,3.5549,5,296,16.6,0.39323,0.1011,23.2
"178",0.05425,0,4.05,0,5.1,6.315,73.4,3.3175,5,296,16.6,0.3956,0.0629,24.6
"179",0.06642,0,4.05,0,5.1,6.86,74.4,2.9153,5,296,16.6,0.39127,0.0692,29.9
"180",0.0578,0,2.46,0,4.88,6.98,58.4,2.829,3,193,17.8,0.3969,0.0504,37.2
"181",0.06588,0,2.46,0,4.88,7.765,83.3,2.741,3,193,17.8,0.39556,0.0756,39.8
"182",0.06888,0,2.46,0,4.88,6.144,62.2,2.5979,3,193,17.8,0.3969,0.0945,36.2
"183",0.09103,0,2.46,0,4.88,7.155,92.2,2.7006,3,193,17.8,0.39412,0.0482,37.9
"184",0.10008,0,2.46,0,4.88,6.563,95.6,2.847,3,193,17.8,0.3969,0.0568,32.5
"185",0.08308,0,2.46,0,4.88,5.604,89.8,2.9879,3,193,17.8,0.391,0.1398,26.4
"186",0.06047,0,2.46,0,4.88,6.153,68.8,3.2797,3,193,17.8,0.38711,0.1315,29.6
"187",0.05602,0,2.46,0,4.88,7.831,53.6,3.1992,3,193,17.8,0.39263,0.0445,50
"188",0.07875,45,3.44,0,4.37,6.782,41.1,3.7886,5,398,15.2,0.39387,0.0668,32
"189",0.12579,45,3.44,0,4.37,6.556,29.1,4.5667,5,398,15.2,0.38284,0.0456,29.8
"190",0.0837,45,3.44,0,4.37,7.185,38.9,4.5667,5,398,15.2,0.3969,0.0539,34.9
"191",0.09068,45,3.44,0,4.37,6.951,21.5,6.4798,5,398,15.2,0.37768,0.051,37
"192",0.06911,45,3.44,0,4.37,6.739,30.8,6.4798,5,398,15.2,0.38971,0.0469,30.5
"193",0.08664,45,3.44,0,4.37,7.178,26.3,6.4798,5,398,15.2,0.39049,0.0287,36.4
"194",0.02187,60,2.93,0,4.01,6.8,9.9,6.2196,1,265,15.6,0.39337,0.0503,31.1
"195",0.01439,60,2.93,0,4.01,6.604,18.8,6.2196,1,265,15.6,0.3767,0.0438,29.1
"196",0.01381,80,0.46,0,4.22,7.875,32,5.6484,4,255,14.4,0.39423,0.0297,50
"197",0.04011,80,1.52,0,4.04,7.287,34.1,7.309,2,329,12.6,0.3969,0.0408,33.3
"198",0.04666,80,1.52,0,4.04,7.107,36.6,7.309,2,329,12.6,0.35431,0.0861,30.3
"199",0.03768,80,1.52,0,4.04,7.274,38.3,7.309,2,329,12.6,0.3922,0.0662,34.6
"200",0.0315,95,1.47,0,4.03,6.975,15.3,7.6534,3,402,17,0.3969,0.0456,34.9
"201",0.01778,95,1.47,0,4.03,7.135,13.9,7.6534,3,402,17,0.3843,0.0445,32.9
"202",0.03445,82.5,2.03,0,4.15,6.162,38.4,6.27,2,348,14.7,0.39377,0.0743,24.1
"203",0.02177,82.5,2.03,0,4.15,7.61,15.7,6.27,2,348,14.7,0.39538,0.0311,42.3
"204",0.0351,95,2.68,0,4.161,7.853,33.2,5.118,4,224,14.7,0.39278,0.0381,48.5
"205",0.02009,95,2.68,0,4.161,8.034,31.9,5.118,4,224,14.7,0.39055,0.0288,50
"206",0.13642,0,10.59,0,4.89,5.891,22.3,3.9454,4,277,18.6,0.3969,0.1087,22.6
"207",0.22969,0,10.59,0,4.89,6.326,52.5,4.3549,4,277,18.6,0.39487,0.1097,24.4
"208",0.25199,0,10.59,0,4.89,5.783,72.7,4.3549,4,277,18.6,0.38943,0.1806,22.5
"209",0.13587,0,10.59,1,4.89,6.064,59.1,4.2392,4,277,18.6,0.38132,0.1466,24.4
"210",0.43571,0,10.59,1,4.89,5.344,100,3.875,4,277,18.6,0.3969,0.2309,20
"211",0.17446,0,10.59,1,4.89,5.96,92.1,3.8771,4,277,18.6,0.39325,0.1727,21.7
"212",0.37578,0,10.59,1,4.89,5.404,88.6,3.665,4,277,18.6,0.39524,0.2398,19.3
"213",0.21719,0,10.59,1,4.89,5.807,53.8,3.6526,4,277,18.6,0.39094,0.1603,22.4
"214",0.14052,0,10.59,0,4.89,6.375,32.3,3.9454,4,277,18.6,0.38581,0.0938,28.1
"215",0.28955,0,10.59,0,4.89,5.412,9.8,3.5875,4,277,18.6,0.34893,0.2955,23.7
"216",0.19802,0,10.59,0,4.89,6.182,42.4,3.9454,4,277,18.6,0.39363,0.0947,25
"217",0.0456,0,13.89,1,5.5,5.888,56,3.1121,5,276,16.4,0.3928,0.1351,23.3
"218",0.07013,0,13.89,0,5.5,6.642,85.1,3.4211,5,276,16.4,0.39278,0.0969,28.7
"219",0.11069,0,13.89,1,5.5,5.951,93.8,2.8893,5,276,16.4,0.3969,0.1792,21.5
"220",0.11425,0,13.89,1,5.5,6.373,92.4,3.3633,5,276,16.4,0.39374,0.105,23
"221",0.35809,0,6.2,1,5.07,6.951,88.5,2.8617,8,307,17.4,0.3917,0.0971,26.7
"222",0.40771,0,6.2,1,5.07,6.164,91.3,3.048,8,307,17.4,0.39524,0.2146,21.7
"223",0.62356,0,6.2,1,5.07,6.879,77.7,3.2721,8,307,17.4,0.39039,0.0993,27.5
"224",0.6147,0,6.2,0,5.07,6.618,80.8,3.2721,8,307,17.4,0.3969,0.076,30.1
"225",0.31533,0,6.2,0,5.04,8.266,78.3,2.8944,8,307,17.4,0.38505,0.0414,44.8
"226",0.52693,0,6.2,0,5.04,8.725,83,2.8944,8,307,17.4,0.382,0.0463,50
"227",0.38214,0,6.2,0,5.04,8.04,86.5,3.2157,8,307,17.4,0.38738,0.0313,37.6
"228",0.41238,0,6.2,0,5.04,7.163,79.9,3.2157,8,307,17.4,0.37208,0.0636,31.6
"229",0.29819,0,6.2,0,5.04,7.686,17,3.3751,8,307,17.4,0.37751,0.0392,46.7
"230",0.44178,0,6.2,0,5.04,6.552,21.4,3.3751,8,307,17.4,0.38034,0.0376,31.5
"231",0.537,0,6.2,0,5.04,5.981,68.1,3.6715,8,307,17.4,0.37835,0.1165,24.3
"232",0.46296,0,6.2,0,5.04,7.412,76.9,3.6715,8,307,17.4,0.37614,0.0525,31.7
"233",0.57529,0,6.2,0,5.07,8.337,73.3,3.8384,8,307,17.4,0.38591,0.0247,41.7
"234",0.33147,0,6.2,0,5.07,8.247,70.4,3.6519,8,307,17.4,0.37895,0.0395,48.3
"235",0.44791,0,6.2,1,5.07,6.726,66.5,3.6519,8,307,17.4,0.3602,0.0805,29
"236",0.33045,0,6.2,0,5.07,6.086,61.5,3.6519,8,307,17.4,0.37675,0.1088,24
"237",0.52058,0,6.2,1,5.07,6.631,76.5,4.148,8,307,17.4,0.38845,0.0954,25.1
"238",0.51183,0,6.2,0,5.07,7.358,71.6,4.148,8,307,17.4,0.39007,0.0473,31.5
"239",0.08244,30,4.93,0,4.28,6.481,18.5,6.1899,6,300,16.6,0.37941,0.0636,23.7
"240",0.09252,30,4.93,0,4.28,6.606,42.2,6.1899,6,300,16.6,0.38378,0.0737,23.3
"241",0.11329,30,4.93,0,4.28,6.897,54.3,6.3361,6,300,16.6,0.39125,0.1138,22
"242",0.10612,30,4.93,0,4.28,6.095,65.1,6.3361,6,300,16.6,0.39462,0.124,20.1
"243",0.1029,30,4.93,0,4.28,6.358,52.9,7.0355,6,300,16.6,0.37275,0.1122,22.2
"244",0.12757,30,4.93,0,4.28,6.393,7.8,7.0355,6,300,16.6,0.37471,0.0519,23.7
"245",0.20608,22,5.86,0,4.31,5.593,76.5,7.9549,7,330,19.1,0.37249,0.125,17.6
"246",0.19133,22,5.86,0,4.31,5.605,70.2,7.9549,7,330,19.1,0.38913,0.1846,18.5
"247",0.33983,22,5.86,0,4.31,6.108,34.9,8.0555,7,330,19.1,0.39018,0.0916,24.3
"248",0.19657,22,5.86,0,4.31,6.226,79.2,8.0555,7,330,19.1,0.37614,0.1015,20.5
"249",0.16439,22,5.86,0,4.31,6.433,49.1,7.8265,7,330,19.1,0.37471,0.0952,24.5
"250",0.19073,22,5.86,0,4.31,6.718,17.5,7.8265,7,330,19.1,0.39374,0.0656,26.2
"251",0.1403,22,5.86,0,4.31,6.487,13,7.3967,7,330,19.1,0.39628,0.059,24.4
"252",0.21409,22,5.86,0,4.31,6.438,8.9,7.3967,7,330,19.1,0.37707,0.0359,24.8
"253",0.08221,22,5.86,0,4.31,6.957,6.8,8.9067,7,330,19.1,0.38609,0.0353,29.6
"254",0.36894,22,5.86,0,4.31,8.259,8.4,8.9067,7,330,19.1,0.3969,0.0354,42.8
"255",0.04819,80,3.64,0,3.92,6.108,32,9.2203,1,315,16.4,0.39289,0.0657,21.9
"256",0.03548,80,3.64,0,3.92,5.876,19.1,9.2203,1,315,16.4,0.39518,0.0925,20.9
"257",0.01538,90,3.75,0,3.94,7.454,34.2,6.3361,3,244,15.9,0.38634,0.0311,44
